name;parent;standard
audience;TargetAudiences;
rol;associatedParty;
synonymStatus;SynonymsAtomized;
language;CommonNamesAtomized;
type;DistributionScope;
catalogue;GeographicEntity;ISO 639
dwc:country;;
dwc:state;;
dwc:county;;
dwc:municipality;;
dwc:locality;;
attribute;LifeFormAtomized;
value;LifeFormAtomized;
attribute;LifeCycleAtomized;
value;LifeCycleAtomized;
attribute;ReproductionAtomized;
value;ReproductionAtomized;
event;AnnualCycleAtomized;
startTimeInterval;AnnualCycleAtomized;
endTimeInterval;AnnualCycleAtomized;
type;FeedingAtomized;
trophicStrategy;FeedingAtomized;
type;DispersalAtomized;
structuredDispersed;DispersalAtomized;
interactionSpeciesType;InteractionAtomized;
causes;MigratoryAtomized;
patterns;MigratoryAtomized;
season;MigratoryAtomized;
attribute;ecologicalSignificanceAtomized;
value;ecologicalSignificanceAtomized;
gisin:invasiveness;;
attribute;HabitatAtomized;
value;HabitatAtomized;
patternDistribution;PopulationBiologyAtomized;
PopulationTrend;PopulationBiologyAtomized;
ThreatCategory;ThreatStatus;
attribute;DirectThreats;
value;DirectThreats;
type;ManagementAndConservationAtomized;
type;Actions;
